iter	Logloss
0	0.6372043299
5	0.4518335076
10	0.3597103536
15	0.3111731304
20	0.2847839154
25	0.2702795236
30	0.2614101675
35	0.256258568
40	0.2529307712
45	0.2506339802
50	0.2487886781
55	0.247598411
60	0.2466242343
65	0.245745773
70	0.2451492343
75	0.2445015509
80	0.2440073648
85	0.2435600203
90	0.2431185984
95	0.2427129508
100	0.2423700549
105	0.2419923376
110	0.2416428045
115	0.2413199155
120	0.241030419
125	0.2407499256
130	0.2404636524
135	0.2402330333
140	0.2399848526
145	0.2397841009
150	0.2395507189
155	0.239320862
160	0.2391275732
165	0.2388633711
170	0.2387065711
175	0.2385247624
180	0.2383185486
185	0.2380908511
190	0.2379282395
195	0.237719104
200	0.2375330399
205	0.2373600439
210	0.2372043236
215	0.2370240075
220	0.2368769569
225	0.2367269528
230	0.2365671835
235	0.2364027301
240	0.2362566321
245	0.2361127889
250	0.2359773137
255	0.2358329783
260	0.2356985987
265	0.2355581217
270	0.2354014011
275	0.2352664975
280	0.2351477741
285	0.2350108063
290	0.2348869223
295	0.2347706759
300	0.2346528894
305	0.2345242895
310	0.2343805892
315	0.2342658037
320	0.2341490492
325	0.2340086992
330	0.2339142858
335	0.2338108692
340	0.2337096121
345	0.2335911586
350	0.2335054625
355	0.2333998864
360	0.2332843069
365	0.2331891154
370	0.2331034351
375	0.2330003679
380	0.232881438
385	0.2327852779
390	0.2326907057
395	0.2325932753
400	0.232484603
405	0.2323908405
410	0.2322897263
415	0.2321710188
420	0.2320615525
425	0.2319612005
430	0.2318668664
435	0.2317755651
440	0.2316630502
445	0.2315596019
450	0.2314698408
455	0.2313924649
460	0.2313126597
465	0.2312424927
470	0.2311399176
475	0.2310368345
480	0.2309539488
485	0.2308967069
490	0.230821951
495	0.230735715
500	0.230659657
505	0.2305588445
510	0.2304773879
515	0.2304114763
520	0.2303327508
525	0.2302527232
530	0.2301835407
535	0.2300715021
540	0.2299817093
545	0.2298672254
550	0.2297922472
555	0.2296994692
560	0.2296209183
565	0.2295339995
570	0.2294552899
575	0.2293671325
580	0.2292669869
585	0.2291504706
590	0.2290694268
595	0.229004325
600	0.2289124998
605	0.22881029
610	0.2287194333
615	0.2286422639
620	0.2285587271
625	0.2284559616
630	0.2283647079
635	0.2282859824
640	0.2281879804
645	0.2281000136
650	0.2280207959
655	0.2279291452
660	0.2278163445
665	0.22773827
670	0.2276561465
675	0.2275935535
680	0.2275191469
685	0.2274412153
690	0.2273669834
695	0.2272651864
700	0.2271797126
705	0.2270994786
710	0.2270211183
715	0.2269324052
720	0.2268503134
725	0.2267808609
730	0.2266946407
735	0.2266087381
740	0.2265198663
745	0.226453526
750	0.2263893134
755	0.2262957097
760	0.22622224
765	0.2261149808
770	0.2260282525
775	0.2259501621
780	0.2258789948
785	0.2257778171
790	0.2256991868
795	0.2256113629
800	0.225535178
805	0.2254610572
810	0.2253817759
815	0.2252890932
820	0.225208367
825	0.2251299273
830	0.2250665086
835	0.224987275
840	0.2249140117
845	0.2248513234
850	0.2247834746
855	0.2247089093
860	0.2246601465
865	0.224592647
870	0.2245137945
875	0.2244220327
880	0.2243540887
885	0.2242830483
890	0.2241965741
895	0.2241262801
900	0.2240567164
905	0.2239831514
910	0.2238937555
915	0.2238153635
920	0.2237556604
925	0.223681873
930	0.2236052276
935	0.2235248984
940	0.2234496502
945	0.2233563006
950	0.2232696835
955	0.2231807957
960	0.2230898755
965	0.2230230589
970	0.2229283596
975	0.2228448388
980	0.2227601747
985	0.2227034409
990	0.2226223971
995	0.2225482446
1000	0.2224685981
1005	0.2224020513
1010	0.2223375529
1015	0.2222483476
1020	0.2221637629
1025	0.2220744147
1030	0.2219964831
1035	0.221940178
1040	0.2218817928
1045	0.2218272661
1050	0.2217448885
1055	0.2216605261
1060	0.2215883426
1065	0.2215253208
1070	0.2214634424
1075	0.2213914335
1080	0.2213298408
1085	0.2212638181
1090	0.2211912693
1095	0.2211290574
1100	0.2210643526
1105	0.2210012832
1110	0.220926305
1115	0.2208432288
1120	0.2207770632
1125	0.2207170266
1130	0.2206334582
1135	0.2205477302
1140	0.2204655432
1145	0.2204016164
1150	0.2203323068
1155	0.2202835599
1160	0.2202051996
1165	0.2201419714
1170	0.2200474786
1175	0.2199851396
1180	0.2199159253
1185	0.2198500931
1190	0.2197944232
1195	0.2197203977
1200	0.2196537716
1205	0.219572569
1210	0.2195034023
1215	0.2194415397
1220	0.2193601784
1225	0.2192879313
1230	0.2192273072
1235	0.2191543615
1240	0.219057598
1245	0.2189769353
1250	0.2189100234
1255	0.2188484784
1260	0.2187979848
1265	0.2187144798
1270	0.2186379138
1275	0.2185734789
1280	0.2184976433
1285	0.2184500872
1290	0.2183764745
1295	0.2183183752
1300	0.2182586721
1305	0.2182080515
1310	0.2181244195
1315	0.2180399618
1320	0.2179854351
1325	0.2179276057
1330	0.2178709195
1335	0.2178121691
1340	0.2177536569
1345	0.2176796949
1350	0.2175943798
1355	0.2175527305
1360	0.2174773395
1365	0.2174102847
1370	0.2173448018
1375	0.2172741584
1380	0.2172062461
1385	0.2171395406
1390	0.2170770429
1395	0.2170092259
1400	0.2169442035
1405	0.2168504569
1410	0.2167844025
1415	0.2167155057
1420	0.216656279
1425	0.2166010218
1430	0.2165240588
1435	0.2164688176
1440	0.2164034617
1445	0.216360955
1450	0.2162865485
1455	0.2162391988
1460	0.2161839735
1465	0.2161031678
1470	0.216053103
1475	0.2159900019
1480	0.2159351417
1485	0.2158621007
1490	0.215795284
1495	0.2157361049
1500	0.2156681609
1505	0.215595882
1510	0.215520888
1515	0.2154544841
1520	0.21539413
1525	0.2153298698
1530	0.2152711512
1535	0.2152146555
1540	0.2151489027
1545	0.215067986
1550	0.2149914834
1555	0.2149317327
1560	0.2148677741
1565	0.2148036251
1570	0.2147354111
1575	0.2146617826
1580	0.2145906628
1585	0.2145073643
1590	0.2144376736
1595	0.2143764621
1600	0.2143136309
1605	0.2142527846
1610	0.2142063559
1615	0.2141523849
1620	0.214106115
1625	0.2140315973
1630	0.2139539039
1635	0.2139007427
1640	0.2138519799
1645	0.2138045826
1650	0.2137283182
1655	0.2136779041
1660	0.2136164226
1665	0.2135254547
1670	0.2134553512
1675	0.2134103516
1680	0.2133627003
1685	0.2133009806
1690	0.2132524718
1695	0.2131742544
1700	0.2131012452
1705	0.2130384934
1710	0.2129569574
1715	0.2128853454
1720	0.2128019198
1725	0.2127464404
1730	0.2126928982
1735	0.2126354498
1740	0.2125643618
1745	0.2124917654
1750	0.2124202805
1755	0.2123456834
1760	0.2122852816
1765	0.2122315012
1770	0.2121748309
1775	0.2121119997
1780	0.2120534081
1785	0.2119861627
1790	0.2119358756
1795	0.2118766488
1800	0.2118316968
1805	0.2117696278
1810	0.21170297
1815	0.2116556997
1820	0.21158928
1825	0.2115237178
1830	0.211447374
1835	0.2113946733
1840	0.2113262688
1845	0.2112653272
1850	0.2112062592
1855	0.2111369814
1860	0.2110704505
1865	0.2110024748
1870	0.2109342608
1875	0.2108921828
1880	0.2108163789
1885	0.2107562312
1890	0.2106938447
1895	0.2106255195
1900	0.2105868078
1905	0.2105312172
1910	0.2104601928
1915	0.2104024427
1920	0.2103442004
1925	0.2102867838
1930	0.2102224125
1935	0.2101510546
1940	0.2100881916
1945	0.210026599
1950	0.2099654827
1955	0.2099064465
1960	0.2098392964
1965	0.2097587449
1970	0.2096941353
1975	0.2096193635
1980	0.2095523722
1985	0.2095093256
1990	0.2094501148
1995	0.2093943336
2000	0.2093490958
2005	0.2092818663
